Nome do Produto,Preço (R$),Avaliação (estrelas),URL,Disponibilidade,ASIN,MLB_ID
Valuetoner Cartuchos de Tinta para HP 664 664XL 664 XL Compatível com HP DeskJet Ink Advantage 1115 3635 3636 3775 3835 3836 3838 4535 4536 4675 5085 5275 (1 Preto 1 Colorido),195.99,4.3,https://www.amazon.com.br/dp/B0DPHKVBRV,Em estoque,B0DPHKVBRV,
GPC IMAGE Cartuchos de Tinta para HP 664 664XL 664 XL Cartucho Compatível com HP DeskJet Ink Advantage 1115 2135 3630 2675 3635 3775 3835 4535 4675 5075 (1 Preto1 Colorido),195.99,4.4,https://www.amazon.com.br/dp/B0FCMMMTFZ,Em estoque,B0FCMMMTFZ,
2 Cartuchos Hp 662 Preto E Colorido Da 2516 3516 1516 2546,192.0,4.8,https://www.mercadolivre.com.br/N/A,Em estoque,,N/A
"Cartucho HP 664XL preto Original (F6V31AB) Para HP Deskjet 2136, 2676, 3776, 5076, 5276",169.99,4.7,https://www.amazon.com.br/dp/B075736YWS,Em estoque,B075736YWS,
Kit Cartucho De Tinta Hp 662 Preto+ 662 Colorido,158.0,4.7,https://www.mercadolivre.com.br/N/A,Em estoque,,N/A
Cartucho Tinta Hp 662 Preto E Colorido Advantage,157.0,4.7,https://www.mercadolivre.com.br/N/A,Em estoque,,N/A
Kit Cartucho Hp 662 Preto + 662 Colorido,145.0,4.5,https://www.mercadolivre.com.br/N/A,Em estoque,,N/A
2 Cartuchos 664 Preto Black Impressora Hp Deskjet,139.0,4.8,https://www.mercadolivre.com.br/N/A,Em estoque,,N/A
TECKKIN Cartucho de Tinta Compatível para HP 664 664XL Compatível para HP Deskjet Ink Advantage 1115 1118 2135 2136 2675 3635 3638 3775 3835 4535 4675 5075 5275 (1 Preto),120.99,4.2,https://www.amazon.com.br/dp/B0FNCVHQZR,Em estoque,B0FNCVHQZR,
Cartucho Tinta Hp 662 Colorido Advantage,77.0,4.7,https://www.mercadolivre.com.br/N/A,Em estoque,,N/A
Cartucho De Tinta Hp 662 Preto Advantage,71.0,4.7,https://www.mercadolivre.com.br/N/A,Em estoque,,N/A
Cartucho De Tinta Hp 662 Cor Color Do 2 Ml,71.0,4.6,https://www.mercadolivre.com.br/N/A,Em estoque,,N/A
Cartucho Tinta Original Hp 662 Preto Deskjet 2646 1516 4646,67.0,4.7,https://www.mercadolivre.com.br/N/A,Em estoque,,N/A
Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,63.0,4.8,https://www.mercadolivre.com.br/N/A,Em estoque,,N/A
"Cartucho Hp 664 preto Original (f6v29ab) Para Hp Deskjet 2136, 2676, 3776, 5076, 5276",61.94,4.7,https://www.amazon.com.br/dp/B074HMBWQG,Em estoque,B074HMBWQG,
Kit Cartuchos de Tinta HP 664 | 2136 | 4536 Black + Color Original - 2ml,34.75,4.7,https://www.amazon.com.br/dp/B004E6O99O,Em estoque,B004E6O99O,
HP Cartucho De Tinta 664 Tricolor,32.5,4.6,https://www.amazon.com.br/dp/B01B2YLPLA,Em estoque,B01B2YLPLA,
Kit Cartucho HP 664 Preto (2 Un.) + Cartucho HP 664 Colorido (1 Un.) - Original,31.5,4.8,https://www.amazon.com.br/dp/B084M3WFC7,Em estoque,B084M3WFC7,
HP Cartucho De Tinta 664 Negra,31.0,4.5,https://www.amazon.com.br/dp/B01B2YLQ6E,Em estoque,B01B2YLQ6E,
Kit Cartuchos 664 Preto e colorido Original HP 1115 2136 3636,30.8,4.7,https://www.amazon.com.br/dp/B07Z23F33D,Em estoque,B07Z23F33D,
